host_organization,program_name,apply_link,deadline,grade_eligibility
Questbridge,College Prep Scholars,https://www.questbridge.org/apply-to-college/programs/college-prep-scholars-program,2025 March 20,11
LEDA,Leadership Enterprise for a Diverse America,https://ledascholars.org/,2024 December 11,11
Thrive,Thrive Scholars 6 Year Program,https://www.thrivescholars.org,2024 December 15,11
MIT,Women's Technology Program,https://web.mit.edu/wtp/,2025 January 15,11
Thrive,Thrive OnRamp,https://apply.thrivescholars.org/onramp,2024 December 15,10
USC Bovard,Bovard Scholars,https://bovardscholars.usc.edu/,2025 January 17,11
Matriculate,Matriculate High School Fellows,https://matriculate.org/,2025 February 1,11, 12
MITES,MIT Intro to Tech, Engineering, and Science,https://mites.mit.edu/,2025 February 1,11
Alexander Hamilton Scholars,Hamilton Scholars,https://www.hamiltonscholars.org/,2025 January 31,11
Carnegie Melon University,Carnegie Mellon's Pre-College Programs,https://www.cmu.edu/pre-college/index.html,2025 March 1,10, 11
Carnegie Melon University,Summer Academy for Math and Science,https://www.cmu.edu/pre-college/academic-programs/sams.html,2025 March 1,11
Kettering University AIM,Academically Interested Minds,https://www.kettering.edu/academics/precollege/AIM,NaN,12
Hispanic Scholarship Fund,HSF Scholar Program,https://www.hsf.net/,2025 February 15,11
Arizona State University,Barrett Summer Scholars,https://eoss.asu.edu/bss,2024 March 24,Rising 8 - 11
Brown Pre-college Programs,Brown Pre-college Programs,https://precollege.brown.edu/?utm_source=google&utm_medium=cpc,2025 May 9,9 - 12
Washington University in St. Louis,Washington University Pre-college Programs,https://precollege.wustl.edu/,2025 April 1,10, 11
Stanford University,Stanford Math Circle,https://mathcircle.spcs.stanford.edu/,NaN,9 - 12
Vanderbilt University,Mentor Immersion at Vanderbilt Program for Talented Youth,https://pty.vanderbilt.edu/,Rolling,10 - 12
Stanford University,Stanford Pre-collegiate Summer Institutes,https://spcs.stanford.edu/,2025 March 20,8 - 11
University of Chicago,Uchicago Summer Immersion Sessions,https://summer.uchicago.edu/pre-college/pre-college/3-week-immersion/,2025 March 5,9 - 11
Brown Pre-college Programs,Brown Environmental Leadership Labs,https://precollege.brown.edu/programs/bell-program,2025 March 31,10 - 12
Yale University,Yale Young Global Scholars,https://globalscholars.yale.edu/,2025 January 10,10 - 11
Arizona State University,Cesar E. Chavez Institute Leadership Institute,https://eoss.asu.edu/access/cesar-e-chavez-leadership-institute,NaN,10, 11
Stanford University,Stanford University Mathematics Camp,https://sumac.spcs.stanford.edu/,2025 February 3,10, 11
Vanderbilt University,Vanderbilt Summer Academy,https://pty.vanderbilt.edu/vsa-2025-courses/,Rolling,9 - 12
Stanford University,Stanford Summer Humanities Institute,https://spcs.stanford.edu/programs/stanford-summer-humanities-institute,2025 February 3,10 - 11
Harvard University,Harvard's Pre-college Program,https://summer.harvard.edu/high-school-programs/pre-college-program/#what-is-a-pre-college-program,2025 February 12,10 - 11
Boston University,High School Honors,https://www.bu.edu/summer/high-school-programs/high-school-honors/,2025 May 23,10 - 11
Boston University,RISE Internship/Practicum,https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/,2025 February 14,11
Boston University,Academic Immersion,https://www.bu.edu/summer/high-school-programs/academic-immersion/,Rolling,10 - 11
Brown Pre-college Programs,Leadership Institute,https://precollege.brown.edu/programs/leadership-institute,Rolling,9 - 12
Brown Pre-college Programs,Brown Experiential Education,https://precollege.brown.edu/programs/brown-experiential-education-bee,2025 May 9,10 - 12
Tufts University,Pre-College Programs at Tufts,https://universitycollege.tufts.edu/pre-college,2025 May 1,9 - 12
Posse,Posse Foundation,https://www.possefoundation.org/,NaN,12
Jack Kent Cooke Foundation,JKC Young Scholars,https://www.jkcf.org/our-scholarships/young-scholars-program/,2025 April 30,7
Columbia Climate School,Columbia Climate School in the Green Mountains,https://www.climate.columbia.edu/green-mountains,Rolling,9 - 12
MIT,Mathroots,https://mathroots.mit.edu/,2025 March 3,9 - 12
MIT,Summer Science Program,https://summerscience.org/,2025 February 21,11
Texas Tech University,Clark Scholars Program,https://www.depts.ttu.edu/clarkscholars/about.php,2025 February 24,11
Stony Brook University,Summer Research Program,https://www.stonybrook.edu/commcms/garcia/summer_program/program_description,2025 March 3,10 - 12
Michigan State University,High School Honors Science, Math and Engineering Program,https://education.msu.edu/hshsp/,Not offered for 2025,11
Stanford University,Stanford Institutes of Medicine Summer Research Program,https://simr.stanford.edu/,2025 February 22,10 - 11
CPET University of Florida,Student Science Training Program,https://www.cpet.ufl.edu/students/uf-cpet-summer-programs/student-science-training-program/,2025 April 1,12
SPARC,Summer Program on Applied Rationality and Cognition,https://www.sparc.camp/,2025 February 2,11 - 12
Awesome Math,Awesome Math Summer Program,https://www.awesomemath.org/,2025 February 20,6 - 12
MathCamp,Canada/USA Mathcamp,https://www.mathcamp.org/,2025 February 26,9 - 12
Hampshire College,Hampshire College Summer Studies in Mathematics,https://hcssim.org/,Rolling,10 -11
MathILy,Mathematics Infused with Levity,https://www.mathily.org/,2025 April 29,9 - 11
PROMYS,Program in Mathematics for Young Scientists,https://promys.org/,2025 March 3,9 - 12
Prove it!,Prove it! Math Academy,https://proveitmath.org/,Not offered for 2025,9 - 11
Ross Mathematics Program,Ross Mathematics Program,https://rossprogram.org/,2025 March 15,9 - 12
Texas State University,Honors Summer Math Camp,https://www.txst.edu/mathworks/camps/Summer-Math-Camps-Information/hsmc.html,2025 February 15,9 - 12
